steel supplier,zone,city,state,rating(out of 5),number of reviews,type of steel,price/kg(rupee),category of tmt bar company,year of establishment,response ,delivery,quality,,,,,,,,,
Shreeji Steel Corporation,east,raipur,chattisgarh,4.3,133,sail tmt bar,53,6,1978,0.79,0.73,0.78,,,,,,,,,
Shreeji Steel Corporation,east,kolkata,west bengal,4.3,1012,sail tmt bar,54,6,1978,0.83,0.83,0.9,,,,,,,,,
Sri Srinivasa Steel & Cements Co.,south,bangalore,karnataka,3.7,39,meenakshi tmt bar,70,1,2005,0.5,0.66,0.71,,,,,,,,,
Green Sky Services Private Limited,east,patna,bihar,3.9,75,sail tmt bar,58,6,2019,0.86,0.86,0.9,,,,,,,,,
Green Sky Services Private Limited,east,patna,bihar,3.9,75,tata tiscon tmt bar,56.5,6,2019,0.86,0.86,0.9,,,,,,,,,
Green Sky Services Private Limited,east,patna,bihar,3.9,75,jindal panther tmt bar,58.8,5,2019,0.86,0.86,0.9,,,,,,,,,
Green Sky Services Private Limited,east,patna,bihar,3.9,75,vizag tmt bar,58,3,2019,0.86,0.86,0.9,,,,,,,,,
Krishna Enterprises,south,hyderabad,telangana,4.4,206,sugana tmt bar,41.8,1,1996,0.79,0.64,0.72,,,,,,,,,
Mahalaxmi Trading Corporation,west,nagpur,maharashtra,4,88,jindal panther tmt bar,65,5,1970,0.85,0.92,1,,,,,,,,,
Jai Raj Steel Distributors,south,hyderabad,telangana,4.6,221,jsw neosteel tmt bar,52,5,2000,0.88,0.88,0.95,,,,,,,,,
Jai Raj Steel Distributors,south,hyderabad,telangana,4.6,221,radha tmt bar,48,2,2000,0.88,0.88,0.95,,,,,,,,,
Jai Raj Steel Distributors,south,hyderabad,telangana,4.6,221,sail tmt bar,50,6,2000,0.88,0.88,0.95,,,,,,,,,
Jai Raj Steel Distributors,south,hyderabad,telangana,4.6,221,tata tiscon tmt bar,62,6,2000,0.88,0.88,0.95,,,,,,,,,
Jai Raj Steel Distributors,south,hyderabad,telangana,4.6,221,vizag tmt bar,49,3,2000,0.88,0.88,0.95,,,,,,,,,
Mahul Industries,west,jabalpur,madhya pradesh,3.5,13,tata tiscon tmt bar,82,6,1986,0.75,0.66,0.66,,,,,,,,,
Mahul Industries,west,jabalpur,madhya pradesh,3.5,13,kamdhenu tmt bar,58,4,1986,0.75,0.66,0.66,,,,,,,,,
Mahul Industries,west,jabalpur,madhya pradesh,3.5,13,sail tmt bar,78,6,1986,0.75,0.66,0.66,,,,,,,,,
Mahul Industries,west,jabalpur,madhya pradesh,3.5,13,jindal panther tmt bar,78,5,1986,0.75,0.66,0.66,,,,,,,,,
R. J. And Sons Marketing Pvt. Ltd.itachali Nagaon,east,nagaon,assam,3.8,45,tata tiscon tmt bar,58,6,1979,0.63,0.71,0.75,,,,,,,,,
Shree Balaji Steel Industry,north,ludhiana,punjab,4,69,jindal panther tmt bar,47,5,2015,0.68,0.75,0.8,,,,,,,,,
Jindal Steel & Power Limited,north,gurugram,haryana,4.3,125,jindal panther tmt bar,66.2,5,1990,0.88,0.82,0.88,,,,,,,,,
Gk Elite Infra,south,bangalore,karnataka,4.9,49,jindal panther tmt bar,60,5,2019,0.8,0.78,0.84,,,,,,,,,
D B Commercial Company,east,bhilai,chattisgarh,4.4,54,sail tmt bar,59.6,6,2002,0.61,0.83,0.87,,,,,,,,,
D B Commercial Company,east,bhilai,chattisgarh,4.4,54,kamdhenu tmt bar,58,4,2002,0.61,0.83,0.87,,,,,,,,,
D B Commercial Company,east,bhilai,chattisgarh,4.4,54,tata tiscon tmt bar,79,6,2002,0.61,0.83,0.87,,,,,,,,,
D B Commercial Company,east,bhilai,chattisgarh,4.4,54,jindal panther tmt bar,58,5,2002,0.61,0.83,0.87,,,,,,,,,
D B Commercial Company,east,bhilai,chattisgarh,4.4,54,jsw neosteel tmt bar,60,5,2002,0.61,0.83,0.87,,,,,,,,,
